brand snippet,merk snippet
Condition Value For Damaged,Waarde Voor Beschadigd
Condition Value For Refurbished,Waarde Voor Gereviseerd
Default Option For Condition,Standaard Optie Voor Staat
Specify the default condition option for the product if it doesn't have the condition attribute assigned.,Specificeer de standaard staatsoptie voor het product als het geen staatattribuut heeft toegewezen.
Add Custom Properties,Voeg Aangepaste Eigenschappen toe
Custom Properties,Aangepaste Eigenschappen
Shipping Details,Verzendgegevens
Enable Shipping Details,Verzendgegevens Inschakelen
Enable Free Shipping,Gratis Verzending Inschakelen
Free Shipping Attribute,Gratis Verzendattribuut
"This setting allows you to select the free shipping attribute, which will be used to determine the products with the free shipping option. <br/><b>Note:</b> only attributes of ""Yes/No"" type are shown here.","Deze instelling stelt je in staat om het gratis verzendattribuut te selecteren, dat zal worden gebruikt om de producten met de gratis verzendoptie te bepalen. <br/><b>Opmerking:</b> alleen attributen van het type ""Ja/Nee"" worden hier weergegeven."
Shipping Cost,Verzendkosten
Max Shipping Cost,Maximale Verzendkosten
Shipping Country,Verzendland
This field is <b>required</b>.,Dit veld is <b>vereist</b>.
Min Days for Handling Time,Minimale Dagen voor Verwerkingstijd
Max Days for Handling Time,Maximale Dagen voor Verwerkingstijd
Min Days for Transit Time,Minimale Dagen voor Transittijd
Max Days for Transit Time,Maximale Dagen voor Transittijd
Business Days,Werkdagen
Cutoff Time,Uitsnijtijd
<b>Example:</b> 13:30:00,<b>Voorbeeld:</b> 13:30:00
Merchant Return Policy,Teruggavebeleid van Handelaar
Enable Merchant Return Policy,Retourneer Teruggavebeleid Inschakelen
Merchant Return Policy Attribute,Attribuut Teruggavebeleid van Handelaar
"This setting allows you to select the merchant return policy attribute, which will be used to determine the products with the merchant return policy option. <br/><b>Note:</b> only attributes of ""Yes/No"" type are shown here.","Deze instelling stelt je in staat om het attribuut teruggavebeleid van de handelaar te selecteren, dat zal worden gebruikt om de producten met de optie teruggavebeleid van de handelaar te bepalen. <br/><b>Opmerking:</b> alleen attributen van het type ""Ja/Nee"" worden hier weergegeven."
Applicable Country,Toepasselijk Land
Return Policy Category,Terugkeercategorie
Merchant Return Days,Dagen voor Terugkeer door Handelaar
Return Method,Terugkeermethode
Return Fees,Terugkeerkosten
Shipping Fees Amount,Verzendkosten Bedrag
Category (Product List),Categorie (Productenlijst)
These settings are for the snippet configuration on the category pages.,Deze instellingen zijn voor de snippetconfiguratie op de categoriepagina's.
"Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>.","Voegt de snippets toe die worden getoond op de zoekresultatenpagina van zoekmachines. De winkelier kan de snippetgegevens bekijken op de <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">speciale pagina</a>."
Show Product Offers,Toon Productaanbiedingen
"Informs search engines about the special <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image08.png"">product offers</a>","Informeer zoekmachines over de speciale <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image08.png"">productaanbiedingen</a>"
"Adds the beta support for the recently added <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/speakable"">speakable markup</a>.","Voegt de bèta-ondersteuning toe voor de recent toegevoegde <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/speakable"">speakable markup</a>."
Add any CSS Selectors that the store owner wishes to be spoken aloud by Google Assistant/Google Home. You can specify a few values separated by commas.,"Voeg eventuele CSS-selectoren toe die de winkelier hardop uitgesproken wil hebben door Google Assistant/Google Home. Je kunt enkele waarden opgeven, gescheiden door komma's."
Disable for NOINDEX Robots,Uitschakelen voor NOINDEX Robots
"If set to Yes, hides the snippets on the categories that are not indexed.","Als ingesteld op Ja, verbergt het de snippets op de categorieën die niet geïndexeerd zijn."
Landing Page,Landingpagina
Enable In Open Graph,Inschakelen in Open Graph
"Adding <a target=""_blank"" href=""http://ogp.me/"">these tags</a> helps the Facebook Crawler pick up the correct title, description and the suitable preview image for the shared page.","Het toevoegen van <a target=""_blank"" href=""http://ogp.me/"">deze tags</a> helpt de Facebook Crawler om de juiste titel, omschrijving en geschikte voorbeeldafbeelding voor de gedeelde pagina te selecteren."
Page,Pagina
These settings are for the snippet configuration on the CMS pages.,Deze instellingen zijn voor de snippetconfiguratie op de CMS-pagina's.
Website,Website
Enable In Rich Snippets ▾,Inschakelen in Rijke Snippets ▾
Enable Search Box,Inschakelen Zoekvak
Website Logo,Website Logo
"Upload your website logo for the correct sharing on Facebook and using in OpenGraph markup. Allowed file types: PNG, GIF, JPG, JPEG","Upload je website logo voor de juiste deling op Facebook en gebruik in OpenGraph markup. Toegestane bestandstypes: PNG, GIF, JPG, JPEG"
Facebook App Id,Facebook App Id
"Can be taken from the <a target=""_blank"" href=""https://developers.facebook.com/apps/"">facebook for developers</a> website.","Kan worden verkregen van de <a target=""_blank"" href=""https://developers.facebook.com/apps/"">facebook for developers</a> website."
Website Name,Website Naam
Website About,Website Over
Seller,Verkoper
These settings are for the snippet configuration of the entire store (your organization).,Deze instellingen zijn voor de snippetconfiguratie van de hele winkel (je organisatie).
"Snippet will be added to the home page only. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>.","Snippet wordt alleen toegevoegd aan de startpagina. De winkelier kan de snippetgegevens bekijken op de <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">speciale pagina</a>."
Show Seller Markup on,Toon Verkoper Markup op
Name,Naam
Image,Afbeelding
"If the seller rich snippet is enabled, this field is <b>required</b>.<br/>Allowed file types: PNG, GIF, JPG, JPEG.","Als de verkopersnippet is ingeschakeld, is dit veld <b>vereist</b>.<br/>Toegestane bestandstypes: PNG, GIF, JPG, JPEG."
Description,Omschrijving
Opening Hours,Openingstijden
"The list of opening hours <br /><b>Example:</b><br />Mo-Fr 10:00-19:00<br />Sa,Su 10:00-22:00","De lijst met openingstijden <br /><b>Voorbeeld:</b><br />Ma-Vr 10:00-19:00<br />Za, Zo 10:00-22:00"
Social Links,Sociale Links
The list of social media links <br /><b>Example:</b><br />https://twitter.com/mageworxteam<br />https://www.facebook.com/mageworx,De lijst met links naar sociale media <br /><b>Voorbeeld:</b><br />https://twitter.com/mageworxteam<br />https://www.facebook.com/mageworx
Phone,Telefoon
This field is <b>recommended</b>.,Dit veld is <b>aanbevolen</b>.
Fax,Fax
Email,E-mail
Country,Land
Location,Locatie
This field is <b>recommended</b>.<br/>Example:</b> Seattle,Dit veld is <b>aanbevolen</b>.<br/>Voorbeeld:</b> Seattle
Region,Regio
This field is <b>recommended</b>.<br/><b>Example:</b> WA,Dit veld is <b>aanbevolen</b>.<br/><b>Voorbeeld:</b> WA
Street,Straat
This field is <b>recommended</b>.<br/><b>Example:</b><br>20341 Whitworth Institute<br>405 N. Whitworth,Dit veld is <b>aanbevolen</b>.<br/><b>Voorbeeld:</b><br>20341 Whitworth Institute<br>405 N. Whitworth
ZIP Code,Postcode
Price Range,Prijsklasse
This field is <b>recommended</b>.<br/>Example:</b><br />$$$<br />$31-60,Dit veld is <b>aanbevolen</b>.<br/><b>Voorbeeld:</b><br />$$$<br />$31-60
Breadcrumbs,Breadcrumbs
"The breadcrumbs settings add the <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/breadcrumb"">breadcrumb snippet support</a>.","De breadcrumb-instellingen voegen de ondersteuning voor <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/breadcrumb"">breadcrumb-snippets</a> toe."
Enable,Inschakelen
"The breadcrumbs will be visible on the <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image14.png"">search results page</a>","De breadcrumbs zijn zichtbaar op de <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image14.png"">zoekresultatenpagina</a>"
OpenGraph,OpenGraph
"These settings let the store owner to deliver the highest quality posts on Facebook or other social networks and sharing the product links in messengers. Adding Open Graph tags to the store pages will help the Facebook Crawler pick up the right title and description for the shared page, as well as supply them with the most suitable preview image. Visit <a target=""_blank"" href=""https://ogp.me/"">this page</a> to learn more about the way Open Graph tags work.","Deze instellingen stellen de winkelier in staat om de hoogste kwaliteit berichten op Facebook of andere sociale netwerken te leveren en de productlinks te delen in berichten-apps. Het toevoegen van Open Graph-tags aan de winkelpagina's helpt de Facebook Crawler om de juiste titel en omschrijving voor de gedeelde pagina te selecteren, evenals om ze te voorzien van de meest geschikte voorbeeldafbeelding. Bezoek <a target=""_blank"" href=""https://ogp.me/"">deze pagina</a> om meer te leren over hoe Open Graph-tags werken."
Enable Product OG,Inschakelen Product OG
This setting will disable the default magento Open Graph output if enabled,Deze instelling zal de standaard Magento Open Graph-uitvoer uitschakelen als deze is ingeschakeld
Product OG Title,Product OG Titel
This setting allows you to select what product attribute will be used in OG title for product pages.,Deze instelling stelt je in staat om te selecteren welk productattribuut wordt gebruikt in de OG-titel voor productpagina's.
Product OG Description,Product OG Omschrijving
This setting allows you to select what product attribute will be used in OG description for product pages.,Deze instelling stelt je in staat om te selecteren welk productattribuut wordt gebruikt in de OG-omschrijving voor productpagina's.
Product OG Description Length,Product OG Omschrijving Lengte
Please specify a number of characters to crop og:description.,Specificeren van het aantal tekens om og:omschrijving bij te snijden.
Enable Category OG,Inschakelen Categorie OG
Category OG Title,Categorie OG Titel
This setting allows you to select what category attribute will be used in OG title for category pages.,Deze instelling stelt je in staat om te selecteren welk categorieattribuut wordt gebruikt in de OG-titel voor categoriepagina's.
Category OG Description,Categorie OG Omschrijving
This setting allows you to select what category attribute will be used in OG description for category pages.,Deze instelling stelt je in staat om te selecteren welk categorieattribuut wordt gebruikt in de OG-omschrijving voor categoriepagina's.
Category OG Description Length,Categorie OG Omschrijving Lengte
Enable Page OG,Inschakelen Pagina OG
Page OG Title,Pagina OG Titel
This setting allows you to select what page attribute will be used in OG title for CMS pages.,Deze instelling stelt je in staat om te selecteren welk pagina-attribuut wordt gebruikt in de OG-titel voor CMS-pagina's.
Page OG Description,Pagina OG Omschrijving
This setting allows you to select what page attribute will be used in OG description for CMS pages.,Deze instelling stelt je in staat om te selecteren welk pagina-attribuut wordt gebruikt in de OG-omschrijving voor CMS-pagina's.
Enable Website OG,Inschakelen Website OG
Twitter Cards,Twitter-kaarten
"These settings provide a media-rich experience to those who view your Twitter content. If enabled, the standard Tweet with the website URL will be transformed into the Summary Card and accompanied with an additional title, an extra up-to-200 words description, and an image. To enable the feature, make sure you enter Twitter Username. Visit <a target=""_blank"" href=""https://developer.twitter.com/en/docs/twitter-for-websites/cards/guides/getting-started"">this page</a> to learn more about Twitter Cards.","Deze instellingen bieden een rijke media-ervaring voor degenen die je Twitter-content bekijken. Als deze zijn ingeschakeld, wordt de standaard Tweet met de website-URL omgezet in de Samenvattingskaart en vergezeld van een extra titel, een extra omschrijving tot 200 woorden en een afbeelding. Om de functie in te schakelen, zorg ervoor dat je een Twitter-gebruikersnaam invoert. Bezoek <a target=""_blank"" href=""https://developer.twitter.com/en/docs/twitter-for-websites/cards/guides/getting-started"">deze pagina</a> om meer te leren over Twitter-kaarten."
Enable Product,Inschakelen Product
"To enable the feature, make sure you enter Twitter Username.","Om de functie in te schakelen, zorg ervoor dat je een Twitter-gebruikersnaam invoert."
Product Title,Producttitel
This setting allows you to select what product attribute will be used in Twitter Cards as the title for product pages.,Deze instelling stelt je in staat om te selecteren welk productattribuut wordt gebruikt in Twitter-kaarten als de titel voor productpagina's.
Product Description,Productomschrijving
This setting allows you to select what product attribute will be used in Twitter Cards as the description for product pages.,Deze instelling stelt je in staat om te selecteren welk productattribuut wordt gebruikt in Twitter-kaarten als de omschrijving voor productpagina's.
Product Description Length,Productomschrijving Lengte
Please specify a number of characters to crop description.,Specificeren van het aantal tekens om de omschrijving bij te snijden.
Enable Category,Ingeschakeld voor Categorie
Category Title,Categorietitel
This setting allows you to select what category attribute will be used in Twitter Cards as the title for category pages.,Deze instelling stelt je in staat om te selecteren welk categoriekenmerk wordt gebruikt in Twitter Cards als titel voor categoriapagina's.
Category Description,Categoriebeschrijving
This setting allows you to select what category attribute will be used in Twitter Cards as description for category pages.,Deze instelling stelt je in staat om te selecteren welk categoriekenmerk wordt gebruikt in Twitter Cards als beschrijving voor categoriapagina's.
Category Description Length,Lengte Categoriebeschrijving
Enable Page,Ingeschakeld voor Pagina
"Visit <a target=""_blank"" href=""https://developer.twitter.com/en/docs/tweets/optimize-with-cards/guides/getting-started"">this page</a> to learn more about Twitter Cards. To enable the feature, make sure you enter Twitter Username.","Bezoek <a target=""_blank"" href=""https://developer.twitter.com/en/docs/tweets/optimize-with-cards/guides/getting-started"">deze pagina</a> om meer te weten te komen over Twitter Cards. Om deze functie in te schakelen, zorg ervoor dat je je Twitter gebruikersnaam invoert."
Page Title,Paginatitel
This setting allows you to select what page attribute will be used in Twitter Cards as the title for CMS pages.,Deze instelling stelt je in staat om te selecteren welk paginakenmerk wordt gebruikt in Twitter Cards als titel voor CMS-pagina's.
Page Description,Paginabeschrijving
This setting allows you to select what page attribute will be used in Twitter Cards as the description for CMS pages.,Deze instelling stelt je in staat om te selecteren welk paginakenmerk wordt gebruikt in Twitter Cards als beschrijving voor CMS-pagina's.
Enable Website,Ingeschakeld voor Website
Twitter Username,Twitter Gebruikersnaam
"Merchant Return Policy Data Source","Gegevensbron voor retourbeleid van de verkoper"
"Use custom attribute","Aangepast attribuut gebruiken"
"Use Magento RMA settings","Magento RMA-instellingen gebruiken"
