Save Crosslink,Opslaan Kruisverwijzing
"If <i>Enabled</i>, <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#manage-cross-links"">the created crosslinks</a> will be inserted on the fly on all the relevant pages. These crosslinks can be <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#individual-settings"">individually disabled</a> for any Product/Category page.","Indien <i>Ingeschakeld</i>, zullen <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#manage-cross-links"">de gemaakte kruisverwijzingen</a> automatisch worden ingevoegd op alle relevante pagina's. Deze kruisverwijzingen kunnen <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#individual-settings"">individueel worden uitgeschakeld</a> voor elke Product/Categorie pagina."
Total Max Replacement Count<br>for Product Page,Totaal Max. Vervangingsaantal<br>voor Productpagina
Cross Links are displayed in the description fields.,Kruisverwijzingen worden weergegeven in de beschrijvingsvelden.
Total Max Replacement Count<br>for Category Page,Totaal Max. Vervangingsaantal<br>voor Categoriepagina
Total Max Replacement Count<br>for CMS Page,Totaal Max. Vervangingsaantal<br>voor CMS-pagina
Cross Links can be displayed in the content field (with the exception of the widget contents).<br>NOTE: Cross Links cannot be created on the homepage.,Kruisverwijzingen kunnen worden weergegeven in het inhoudsveld (met uitzondering van de widget-inhoud).<br>OPMERKING: Kruisverwijzingen kunnen niet worden gemaakt op de startpagina.
Total Max Replacement Count<br>for Landing Page,Totaal Max. Vervangingsaantal<br>voor Landingspagina
Cross Links can be displayed in the top/bottom blocks,Kruisverwijzingen kunnen worden weergegeven in de bovenste/onderste blokken
Use Product/Category Name<br>in the Cross Link's Title Tag,Gebruik Product/Categorie Naam<br>in de Tegel Tag van de Kruisverwijzing
Replace on Product Page In,Vervangen op Productpagina in
&nbsp;&nbsp;&nbsp;&nbsp;Default Link Target,&nbsp;&nbsp;&nbsp;&nbsp;Standaard Linkdoel
&nbsp;&nbsp;&nbsp;&nbsp;Default Link Reference,&nbsp;&nbsp;&nbsp;&nbsp;Standaard Link Referentie
&nbsp;&nbsp;&nbsp;&nbsp;Default Replacement Count,&nbsp;&nbsp;&nbsp;&nbsp;Standaard Vervangingsaantal
Default maximum # of time one created keyword is equipped with a crosslink per one page.,Standaard maximaal aantal keren dat één gemaakt trefwoord is uitgerust met een kruisverwijzing per één pagina.
&nbsp;&nbsp;&nbsp;&nbsp;Default Priority,&nbsp;&nbsp;&nbsp;&nbsp;Standaard Prioriteit
&nbsp;&nbsp;&nbsp;&nbsp;Enable by Default,&nbsp;&nbsp;&nbsp;&nbsp;Standaard Inschakelen
"If set to <i>Yes</i>, the created crosslinks will be enabled automatically.","Indien ingesteld op <i>Ja</i>, worden de gemaakte kruisverwijzingen automatisch ingeschakeld."
&nbsp;&nbsp;&nbsp;&nbsp;Default Values for<br>&nbsp;&nbsp;&nbsp;&nbsp;'Destination' Tab,&nbsp;&nbsp;&nbsp;&nbsp;Standaard Waarden voor<br>&nbsp;&nbsp;&nbsp;&nbsp;het Tabblad 'Bestemming'
Use in Cross Linking,Gebruik in Kruisverwijzing
Use in Crosslinking,Gebruik in Kruisverwijzing
Add New Crosslink,Nieuwe Kruisverwijzing Toevoegen
Delete items,Items verwijderen
Are you sure you want to delete selected items?,Weet je zeker dat je de geselecteerde items wilt verwijderen?
Disable,Uitschakelen
Enable,Inschakelen
ID,ID
Replacement Count,Vervangingsaantal
