Save Crosslink,Kreuzverlinkung speichern
"If <i>Enabled</i>, <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#manage-cross-links"">the created crosslinks</a> will be inserted on the fly on all the relevant pages. These crosslinks can be <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#individual-settings"">individually disabled</a> for any Product/Category page.","Wenn <i>Aktiviert</i>, werden <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#manage-cross-links"">die erstellten Kreuzverlinkungen</a> automatisch auf allen relevanten Seiten eingefügt. Diese Kreuzverlinkungen können <a target=""_blank"" href=""https://support.mageworx.com/manuals/crosslinks/#individual-settings"">individuell deaktiviert</a> werden für jede Produkt- oder Kategorieseite."
Total Max Replacement Count<br>for Product Page,Gesamte maximale Anzahl der Ersetzungen<br>für die Produktseite
Cross Links are displayed in the description fields.,Kreuzverlinkungen werden in den Beschreibungsfeldern angezeigt.
Total Max Replacement Count<br>for Category Page,Gesamte maximale Anzahl der Ersetzungen<br>für die Kategorieseite
Total Max Replacement Count<br>for CMS Page,Gesamte maximale Anzahl der Ersetzungen<br>für die CMS-Seite
Cross Links can be displayed in the content field (with the exception of the widget contents).<br>NOTE: Cross Links cannot be created on the homepage.,Kreuzverlinkungen können im Inhaltsfeld angezeigt werden (mit Ausnahme von Widget-Inhalten).<br>HINWEIS: Kreuzverlinkungen können nicht auf der Startseite erstellt werden.
Total Max Replacement Count<br>for Landing Page,Gesamte maximale Anzahl der Ersetzungen<br>für die Landing Page
Cross Links can be displayed in the top/bottom blocks,Kreuzverlinkungen können in den oberen/unteren Blöcken angezeigt werden
Use Product/Category Name<br>in the Cross Link's Title Tag,Verwenden Sie den Produkt-/Kategoriennamen<br>für den Titel-Tag der Kreuzverlinkung
Replace on Product Page In,Ersetzen auf der Produktseite in
&nbsp;&nbsp;&nbsp;&nbsp;Default Link Target,&nbsp;&nbsp;&nbsp;&nbsp;Standard-Linkziel
&nbsp;&nbsp;&nbsp;&nbsp;Default Link Reference,&nbsp;&nbsp;&nbsp;&nbsp;Standard-Referenz
&nbsp;&nbsp;&nbsp;&nbsp;Default Replacement Count,&nbsp;&nbsp;&nbsp;&nbsp;Standard-Ersetzungsanzahl
Default maximum # of time one created keyword is equipped with a crosslink per one page.,"Standardmäßige maximale Anzahl, wie oft ein erstelltes Schlüsselwort auf einer Seite mit einer Kreuzverlinkung ausgestattet ist."
&nbsp;&nbsp;&nbsp;&nbsp;Default Priority,&nbsp;&nbsp;&nbsp;&nbsp;Standard-Priorität
&nbsp;&nbsp;&nbsp;&nbsp;Enable by Default,&nbsp;&nbsp;&nbsp;&nbsp;Standardmäßig aktivieren
"If set to <i>Yes</i>, the created crosslinks will be enabled automatically.","Wenn auf <i>Ja</i> gesetzt, werden die erstellten Kreuzverlinkungen automatisch aktiviert."
&nbsp;&nbsp;&nbsp;&nbsp;Default Values for<br>&nbsp;&nbsp;&nbsp;&nbsp;'Destination' Tab,&nbsp;&nbsp;&nbsp;&nbsp;Standardwerte für<br>&nbsp;&nbsp;&nbsp;&nbsp; den Tab 'Ziel'
Use in Cross Linking,Verwenden in der Kreuzverlinkung
Use in Crosslinking,Verwenden in der Kreuzverlinkung
Add New Crosslink,Neue Kreuzverlinkung hinzufügen
Delete items,Elemente löschen
Are you sure you want to delete selected items?,"Sind Sie sicher, dass Sie die ausgewählten Elemente löschen möchten?"
Disable,Deaktivieren
Enable,Aktivieren
ID,ID
Replacement Count,Ersetzungsanzahl
