Save Custom Redirect,Opslaan Aangepaste Doorverwijzing
"  %1) [Store ID: %2, Request Identifier: %3, Redirect ID: %4]","  %1) [Winkel ID: %2, Aanvraag Identificator: %3, Doorverwijzing ID: %4]"
Could not save the redirect: %1,Kon de doorverwijzing niet opslaan: %1
"Custom Redirect with id ""%1"" does not exist.","Aangepaste Doorverwijzing met id ""%1"" bestaat niet."
Could not delete the redirect: %1,Kon de doorverwijzing niet verwijderen: %1
Root,Root
Disable,Uitschakelen
Product Category,Productcategorie
Priority Category,Prioriteitscategorie
Moved Permanently,Permanent Verplaatst
Found,Gevonden
Custom URL,Aangepaste URL
Category,Categorie
Page,Pagina
Landing Page,Landingpagina
Disabled,Uitgeschakeld
Enabled,Ingeschakeld
"Request Entity Type - %entityType (%identifier) for store ""%storeName"" already exists. Redirect wasn't saved","Type Aanvraagentiteit - %entityType (%identifier) voor winkel ""%storeName"" bestaat al. Doorverwijzing is niet opgeslagen"
UNKNOWN CATEGORY,ONBEKENDE CATEGORIE
All Store Views,Alle Winkelweergaven
Edit,Bewerken
Delete,Verwijderen
Delete Redirect,Doorverwijzing Verwijderen
Are you sure you want to delete the selected redirect?,Weet je zeker dat je de geselecteerde doorverwijzing wilt verwijderen?
UNKNOWN PRODUCT,ONBEKEND PRODUCT
UNKNOWN PAGE,ONBEKENDE PAGINA
UNKNOWN LANDING PAGE,ONBEKENDE LANDINGSPAGINA
Import SEO Redirects,SEO Doorverwijzingen Importeren
Import SEO Redirects (Simple Format),SEO Doorverwijzingen Importeren (Eenvoudig Formaat)
Download example CSV file,Voorbeeld CSV-bestand downloaden
Download,Downloaden
Import SEO Redirects (Full Format),SEO Doorverwijzingen Importeren (Volledig Formaat)
Export SEO Redirects,SEO Doorverwijzingen Exporteren
Export SEO Redirects (Full Format),SEO Doorverwijzingen Exporteren (Volledig Formaat)
Please select a file to import!,Selecteer alsjeblieft een bestand om te importeren!
SEO,SEO
SEO Redirects,SEO Doorverwijzingen
Enable ▾,Inschakelen ▾
Keep URLs For Removed Entities,URL's Behouden Voor Verwijderde Entiteiten
For Deleted Products,Voor Verwijderde Producten
Default Redirect To,Standaard Doorverwijzen Naar
Days to Keep Redirects on the Website,Dagen om Doorverwijzingen op de Website Te Behouden
A number of days to keep the redirects active. Can be set between 30 and 365 days.,Een aantal dagen om de doorverwijzingen actief te houden. Kan worden ingesteld tussen 30 en 365 dagen.
Product Redirect Priority,Prioriteit Doorverwijzing Product
Add New Redirect,Nieuwe Doorverwijzing Toevoegen
Delete items,Items Verwijderen
Are you sure you want to delete selected redirects?,Weet je zeker dat je geselecteerde doorverwijzingen wilt verwijderen?
Product ID,Product ID
Product Name,Productnaam
Request Path,Aanvraagpad
Product Category ID (Name),Productcategorie ID (Naam)
Priority Category ID (Name),Prioriteitscategorie ID (Naam)
Hits,Hits
